data,zoom_level,weights,mask,inverted,sharpness,sharpness_level,contrast,contrast_level,mean_&_std,clipping,threshold,threshold_predic_alpha,threshold_predic_beta,threshold_binary_predic_alpha,threshold_binary_predic_beta,prediction,type,product_alpha_beta
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel1_20211118_003159.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.025,0.1957192507355636,0.28064392672202,0.1875388481806209,0.9932706386530316,prediction,prediction,0.3552295283190571
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.05,0.4298159029729047,0.0579407907284652,0.4150780169094532,0.5173725793200438,prediction,prediction,0.4473272382423325
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.0,0.3527275413842632,0.0694894871049198,0.1285300486812406,1.0,prediction,prediction,0.4821820331074105
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.075,0.7556706119629694,0.0399287359100471,0.7644359341039533,0.302207453129201,prediction,prediction,0.6649779801962157
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.0,True,1.2,True,True,0.0425,0.6777208624253643,0.0821775546077319,0.6504388820477555,0.795151495862208,prediction,prediction,0.701206989112733
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.05,0.7599017090431982,0.0581224268502837,0.7653241588893095,0.5981390615112488,prediction,prediction,0.7275491795368083
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.045,0.7547017672476346,0.0615105955576178,0.75454735409489,0.6694906313823766,prediction,prediction,0.7376595400745831
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.045,0.7929131618118407,0.0458760171459619,0.8082466815948257,0.5563940604303059,prediction,prediction,0.7456093415355337
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.045,0.7704045760773224,0.05585017452909,0.7757386944317641,0.6323707883070121,prediction,prediction,0.7427978185232603
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.25,True,1.2,True,True,0.045,0.7830406242030602,0.0508021019506708,0.7932552522046549,0.5962620637099973,prediction,prediction,0.7456849121044475
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.0425,0.7506738369779259,0.063068059935938,0.7463589301828365,0.7050919158592952,prediction,prediction,0.7415574527541997
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.0425,0.7669570944976444,0.0575199093348035,0.7686093796198855,0.6705446687496247,prediction,prediction,0.7476746093480405
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.04,0.7625645372536133,0.059098140754536,0.7596348370393579,0.7088045147879503,prediction,prediction,0.7518125327604807
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.0375,0.7405555057178735,0.0659062915838129,0.7256999028225563,0.7760299482148315,prediction,prediction,0.7476503942172651
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,3.75,True,1.2,True,True,0.025,0.6970967605372641,0.0704484401412322,0.6292341399985424,0.9192480824569548,prediction,prediction,0.7415270249212023
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.0,0.7651211228161621,0.2462423857288063,0.5163388360264752,0.7869473234228176,prediction,fluoresence,0.7694863629374932
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.7666081518951549,0.2460348263165861,0.5524013763060723,0.7484291530938689,prediction,fluoresence,0.7629723521348977
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.0001,0.7651211228161621,0.2462423857288063,0.5163388360264752,0.7869473234228176,prediction,fluoresence,0.7694863629374932
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.0001,0.3527299098003658,0.0694894821117173,0.1288343785765652,0.999931100661512,prediction,prediction,0.4821701479725949
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.3750502815545912,0.0689661342101248,0.2766985198212567,0.8923858506400478,prediction,prediction,0.4785173953716825
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.025,0.7138212248345993,0.0656722788791013,0.6546433612980884,0.9076317454997028,prediction,prediction,0.75258332896762
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.025,0.7372224247046646,0.0574045220992668,0.6919641912179907,0.8817252128505944,prediction,prediction,0.7661229823338506
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.05,0.7746765211505554,0.0522619106517832,0.7851778142722592,0.5567840834878884,prediction,prediction,0.7310980336180221
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.05,0.7945082633454278,0.0420049312291145,0.8141392747985339,0.4748322854022308,prediction,prediction,0.7305730677567884
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.075,0.7653386398032985,0.0343541382386491,0.7788836815357523,0.2641512595344901,prediction,prediction,0.6651011637495369
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.075,0.7740612878569256,0.0252967112866203,0.7982814561919416,0.1999432975890326,,prediction,0.6592376898033471
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.0425,0.7904296370057583,0.0477396833959616,0.8024506350792482,0.5989933976367585,,prediction,0.7521423891319584
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.0,True,1.2,True,True,0.0375,0.7573670766602459,0.0605799284875471,0.7490439183131717,0.7470344311387709,,prediction,0.7553005475559509
/home/rlane/FMML_DATA/20210224_FAST-EM_prototype,0,RL012_1024x1024_hoechst_zoomlevel_1_blurred_20211124_103409.h5,/home/mabels/CLEMnet/data/FASTEM/masks/0/25_9_0.png,True,True,4.5,True,1.2,True,True,0.0375,0.7814246133547343,0.051197746374297,0.7836828957028616,0.6854460054502345,,prediction,0.7622288917738343
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.06548544644092653,0.019487254302182812,0.06924886710401157,0.36646385806218806,,prediction,0.12568112876517884
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.0,,0.0,,,prediction,
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.37505028155459125,0.06896613421012486,0.27669851982125676,0.8923858506400478,,prediction,0.4785173953716826
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.37505028155459125,0.06896613421012486,0.27669851982125676,0.8923858506400478,,prediction,0.4785173953716826
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.0,,0.0,,,prediction,
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.09423862640370734,0.02883538500089001,0.09490420294310842,0.5084179336298407,,prediction,0.17707448784893398
/home/rlane/FMML_DATA/20200618_RL012/2us/lil_EM_2us_montaged/,0,RL012_1024x1024_hoechst_zoomlevel_0_20211214_083058.h5,/home/mabels/CLEMnet/data/RL012/masks_MA/1/1/1_1_4.png,False,False,0.0,False,0.0,False,False,0.01,0.37505028155459125,0.06896613421012486,0.27669851982125676,0.8923858506400478,,prediction,0.4785173953716826
